,Image signal (A.U.),filter,image_group
381,416.0,61,4
382,416.0,62,4
383,416.0,63,4
384,416.0,64,4
385,416.0,65,4
386,416.0,66,4
387,416.0,67,4
388,416.0,68,4
389,376.0,69,4
390,352.0,70,4
391,351.0,71,4
392,331.0,72,4
393,312.0,73,4
394,312.0,74,4
395,301.0,75,4
396,297.0,76,4
397,293.0,77,4
398,293.0,78,4
399,293.0,79,4
400,2307.8462345840985,0,5
401,2109.172133298347,1,5
402,1933.1918131723958,2,5
403,1785.462870637628,3,5
404,1663.0065599580162,4,5
405,1560.8252427184466,5,5
406,1514.154815009184,6,5
407,1471.308055628444,7,5
408,1432.1718709000263,8,5
409,1389.5738651272632,9,5
410,1323.8845447389137,10,5
411,1254.3182891629494,11,5
412,1195.5271582261873,12,5
413,1128.4195749147204,13,5
414,1085.3240619260037,14,5
415,1056.9658882183155,15,5
416,1030.8202571503543,16,5
417,984.4864864864865,17,5
418,922.8013644712673,18,5
419,887.7163474153765,19,5
420,854.7612175282078,20,5
421,839.7827341905012,21,5
422,815.2608239307268,22,5
423,782.8281290999738,23,5
424,753.3728680136447,24,5
425,731.6402519023878,25,5
426,710.7184466019418,26,5
427,697.9302020467069,27,5
428,696.2909997376016,28,5
429,693.0960377853581,29,5
430,684.4138021516662,30,5
431,672.1099448963527,31,5
432,670.950406717397,32,5
433,670.3852007347153,33,5
434,669.3293098924167,34,5
435,633.8824455523485,35,5
436,627.3293098924167,36,5
437,597.7299921280504,37,5
438,576.8651272631855,38,5
439,575.3009708737864,39,5
440,573.2566255575964,40,5
441,571.4277092626608,41,5
442,570.1676725268958,42,5
443,569.5861978483338,43,5
444,568.4476515350302,44,5
445,567.4088165835739,45,5
446,566.4376803988455,46,5
447,564.6748884807138,47,5
448,563.6158488585673,48,5
449,556.5785882970349,49,5
450,546.4967200209919,50,5
451,523.1794804513252,51,5
452,496.07557071634744,52,5
453,429.82970348989767,53,5
454,396.53293098924166,54,5
455,390.96195224350566,55,5
456,386.3440041983731,56,5
457,383.4374180005248,57,5
458,380.7454736289688,58,5
459,378.40986617685644,59,5
460,375.95171870900026,60,5
461,373.8674888480714,61,5
462,371.92993964838627,62,5
463,368.60614012070323,63,5
464,365.36237208081866,64,5
465,362.33062188401993,65,5
466,358.9317764366308,66,5
467,356.13356074521124,67,5
468,353.5557596431383,68,5
469,331.91550774075046,69,5
470,317.9525059039622,70,5
471,316.43663080556286,71,5
472,304.12752558383625,72,5
473,293.41695093151407,73,5
474,292.50275518236685,74,5
475,285.72526895827866,75,5
476,282.37680398845447,76,5
477,279.77171346103387,77,5
478,279.0621884019942,78,5
479,278.37155602204143,79,5
480,1164.8613303269447,0,6
481,1030.9864712514093,1,6
482,906.4915445321308,2,6
483,816.3111612175874,3,6
484,773.4983089064261,4,6
485,713.4430665163472,5,6
486,671.3213077790305,6,6
487,657.065388951522,7,6
488,645.2863585118376,8,6
489,637.1217587373168,9,6
490,611.5806087936866,10,6
491,597.4441939120632,11,6
492,590.1330326944758,12,6
493,576.728297632469,13,6
494,567.3934611048478,14,6
495,562.0090191657272,15,6
496,509.61781285231115,16,6
497,489.44306651634724,17,6
498,452.6696730552424,18,6
499,432.6865839909808,19,6
500,387.4971815107103,20,6
501,374.16234498308904,21,6
502,332.7531003382187,22,6
503,316.0574971815107,23,6
504,295.9909808342728,24,6
505,291.4464487034949,25,6
506,287.8432919954904,26,6
507,284.9526493799324,27,6
508,283.0574971815107,28,6
509,280.82187147688836,29,6
510,278.47012401352873,30,6
511,276.456595264938,31,6
512,275.12965050732805,32,6
513,273.71138669673053,33,6
514,270.43291995490415,34,6
515,267.43968432919957,35,6
516,265.0270574971815,36,6
517,262.7767756482525,37,6
518,260.23111612175876,38,6
519,257.1465614430665,39,6
520,254.19616685456594,40,6
521,253.77001127395715,41,6
522,251.2683201803833,42,6
523,250.3630214205186,43,6
524,247.20293122886133,44,6
525,246.71025930101464,45,6
526,244.40473506200675,46,6
527,243.30214205186022,47,6
528,243.11161217587374,48,6
529,240.1251409244645,49,6
530,239.7576099210823,50,6
531,238.70011273957158,51,6
532,237.52198421645997,52,6
533,236.28523111612176,53,6
534,235.456595264938,54,6
535,233.7294250281849,55,6
536,233.4836527621195,56,6
537,231.97519729425028,57,6
538,231.87034949267192,58,6
539,231.07666290868096,59,6
540,229.74295377677564,60,6
541,229.630214205186,61,6
542,228.59301014656145,62,6
543,227.65614430665164,63,6
544,227.22322435174746,64,6
545,225.85907553551297,65,6
546,225.5400225479143,66,6
547,225.12739571589628,67,6
548,223.60766629086808,68,6
549,222.81397970687712,69,6
550,222.55693348365276,70,6
551,221.87034949267192,71,6
552,221.36865839909808,72,6
553,220.01240135287486,73,6
554,219.8455467869222,74,6
555,219.82299887260427,75,6
556,219.77339346110486,76,6
557,217.82863585118378,77,6
558,217.38331454340474,78,6
559,217.38331454340474,79,6
560,2276.6049034497723,0,7
561,2097.9739639835107,1,7
562,1931.2505966587112,2,7
563,1781.071382078542,3,7
564,1679.2180516380993,4,7
565,1597.9991321327836,5,7
566,1535.6120633543069,6,7
567,1480.1156433065742,7,7
568,1435.6341939683227,8,7
569,1368.4087654588848,9,7
570,1303.5704057279236,10,7
571,1262.8450857018877,11,7
572,1220.7244521588198,12,7
573,1164.7398568019094,13,7
574,1103.3436754176612,14,7
575,1031.5495769147321,15,7
576,984.854632241267,16,7
577,954.3059231937514,17,7
578,924.0618355391625,18,7
579,871.6463441093513,19,7
580,848.9192883488827,20,7
581,829.4113690605337,21,7
582,796.1961379908875,22,7
583,781.3404209155999,23,7
584,775.6164026903883,24,7
585,768.2163159036668,25,7
586,760.1716207420264,26,7
587,741.3028856584942,27,7
588,732.2920373182903,28,7
589,726.271859405511,29,7
590,720.2796702104578,30,7
591,715.1243219787373,31,7
592,701.37925797353,32,7
593,689.8628769798221,33,7
594,683.0344977218485,34,7
595,676.678672163159,35,7
596,660.766326752007,36,7
597,642.4777609025818,37,7
598,637.9856801909308,38,7
599,615.4825341722717,39,7
600,611.9858971577348,40,7
601,604.8748101540465,41,7
602,602.3942286830115,42,7
603,585.843349967455,43,7
604,581.0256020828813,44,7
605,572.9826426556737,45,7
606,550.6973313083098,46,7
607,546.6990670427425,47,7
608,543.4180950314602,48,7
609,482.0308092861792,49,7
610,465.8719895855934,50,7
611,449.3768713386852,51,7
612,446.563245823389,52,7
613,444.41136906053373,53,7
614,443.0507702321545,54,7
615,429.601648947711,55,7
616,407.03948795834236,56,7
617,392.1820351486223,57,7
618,387.8617921458017,58,7
619,387.57018876111954,59,7
620,386.8533304404426,60,7
621,374.9041006725971,61,7
622,353.53308743762204,62,7
623,353.51638099370797,63,7
624,353.48036450423086,64,7
625,353.428509438056,65,7
626,353.33087437622044,66,7
627,353.2670861358212,67,7
628,353.0436103276199,68,7
629,348.0203948795834,69,7
630,323.25233239314383,70,7
631,319.1794315469733,71,7
632,278.044044261228,72,7
633,180.95139943588632,73,7
634,175.9568236059883,74,7
635,143.0,75,7
636,142.0,76,7
637,141.0,77,7
638,141.0,78,7
639,131.0,79,7
640,1044.016689373297,0,8
641,972.3150544959128,1,8
642,902.6972070844687,2,8
643,853.0684604904632,3,8
644,804.1532697547684,4,8
645,761.4785422343324,5,8
646,741.2094686648502,6,8
647,708.2922343324251,7,8
648,677.408378746594,8,8
649,642.9805858310626,9,8
650,609.2952997275204,10,8
651,587.4063351498637,11,8
652,575.9608310626703,12,8
653,565.6658719346049,13,8
654,555.5548365122615,14,8
655,547.1846049046321,15,8
656,539.5538147138965,16,8
657,533.783719346049,17,8
658,529.54189373297,18,8
659,519.7595367847412,19,8
660,514.4380108991826,20,8
661,510.06267029972753,21,8
662,499.233310626703,22,8
663,488.5616485013624,23,8
664,478.0766348773842,24,8
665,468.7145776566758,25,8
666,453.3283378746594,26,8
667,443.60286103542234,27,8
668,442.7898501362398,28,8
669,439.6982288828338,29,8
670,436.9758174386921,30,8
671,435.3351498637602,31,8
672,433.9591280653951,32,8
673,411.02111716621255,33,8
674,363.98876021798367,34,8
675,341.3433242506812,35,8
676,331.12772479564035,36,8
677,321.7891689373297,37,8
678,311.03848773841963,38,8
679,304.4621934604905,39,8
680,298.7282016348774,40,8
681,294.6457765667575,41,8
682,290.8130108991826,42,8
683,286.47036784741147,43,8
684,283.83787465940054,44,8
685,281.9448228882834,45,8
686,280.1590599455041,46,8
687,278.19891008174386,47,8
688,276.0572207084469,48,8
689,275.40054495912807,49,8
690,272.44686648501363,50,8
691,271.25510899182564,51,8
692,270.5735694822888,52,8
693,269.30449591280654,53,8
694,267.142029972752,54,8
695,265.8634196185286,55,8
696,265.07288828337875,56,8
697,263.9540190735695,57,8
698,263.13385558583104,58,8
699,262.3324250681199,59,8
700,262.141689373297,60,8
701,261.1444141689373,61,8
702,259.90633514986376,62,8
703,259.1692779291553,63,8
704,258.78712534059946,64,8
705,257.5091961852861,65,8
706,251.4959128065395,66,8
707,248.41655313351498,67,8
708,243.2690735694823,68,8
709,236.49352861035422,69,8
710,223.7700953678474,70,8
711,216.77111716621255,71,8
712,184.3848773841962,72,8
713,157.44277929155314,73,8
714,153.8848773841962,74,8
715,138.53201634877385,75,8
716,137.62193460490462,76,8
717,136.67983651226157,77,8
718,136.4965940054496,78,8
719,130.3623978201635,79,8
720,4001.1838219087504,0,9
721,3673.805378003086,1,9
722,3368.124311218867,2,9
723,3158.940489310117,3,9
724,3004.667401366542,4,9
725,2867.6718095657925,5,9
726,2775.3901256336785,6,9
727,2665.2832268018515,7,9
728,2546.1888913378884,8,9
729,2469.237381529645,9,9
730,2402.7782675776944,10,9
731,2269.5541106458013,11,9
732,2133.3982808022924,12,9
733,2009.0370288737051,13,9
734,1892.0921313643378,14,9
735,1803.9887590919109,15,9
736,1711.333700683271,16,9
737,1655.335023143046,17,9
738,1621.505840864007,18,9
739,1588.4760855190655,19,9
740,1517.23694070972,20,9
741,1457.6469032400264,21,9
742,1403.502093894644,22,9
743,1292.664976856954,23,9
744,1187.879435750496,24,9
745,1128.5657923738154,25,9
746,1109.1302622878554,26,9
747,1097.8426272867534,27,9
748,1090.1840423187127,28,9
749,1062.0678862684592,29,9
750,1057.1199030196165,30,9
751,1052.4886488869297,31,9
752,1044.7835574167952,32,9
753,995.8739255014326,33,9
754,978.7449856733524,34,9
755,950.1174785100286,35,9
756,865.7723165087062,36,9
757,859.1974873264271,37,9
758,857.589376239806,38,9
759,818.5179634119462,39,9
760,724.0154286973772,40,9
761,687.149217544633,41,9
762,668.9993387701124,42,9
763,651.5417676878994,43,9
764,634.1445889354198,44,9
765,632.058629050033,45,9
766,625.2047608551907,46,9
767,623.0899272647124,47,9
768,619.6385276614503,48,9
769,611.9120564249504,49,9
770,607.8027330835354,50,9
771,605.6914260524576,51,9
772,594.5873925501432,52,9
773,583.2993167291162,53,9
774,554.9213136433767,54,9
775,535.1031518624642,55,9
776,521.0108000881639,56,9
777,513.3372272426714,57,9
778,503.7463081331276,58,9
779,479.9334361913158,59,9
780,464.7961207846595,60,9
781,421.4648446109764,61,9
782,411.4937183160679,62,9
783,386.6312541326868,63,9
784,347.21842627286753,64,9
785,331.7707736389685,65,9
786,318.14525016530746,66,9
787,297.2276834912938,67,9
788,272.87282345162004,68,9
789,263.6510910293145,69,9
790,251.20564249504076,70,9
791,246.5206083314966,71,9
792,243.94159135992948,72,9
793,243.1251928587172,73,9
794,242.2865329512894,74,9
795,240.6458011902138,75,9
796,239.4392770553229,76,9
797,238.85563147454266,77,9
798,238.61273969583425,78,9
799,238.40335023143047,79,9
800,2389.7097960548313,0,10
801,2201.181544633902,1,10
802,2034.818121029756,2,10
803,1882.057505850886,3,10
804,1773.612169842862,4,10
805,1653.0768973587428,5,10
806,1586.180875961217,6,10
807,1521.7007689735874,7,10
808,1449.2942159812771,8,10
809,1335.6920762286861,9,10
810,1282.8940153794717,10,10
811,1241.1952524239384,11,10
812,1214.5058508859913,12,10
813,1181.988966900702,13,10
814,1120.9067201604814,14,10
815,1050.5830825810765,15,10
816,1022.5416248746238,16,10
817,943.2440655299231,17,10
818,879.0337679705784,18,10
819,805.8572383818121,19,10
820,756.8635907723169,20,10
821,707.9602139752591,21,10
822,658.3938482113006,22,10
823,654.9391507856905,23,10
824,652.2657973921765,24,10
825,648.1130056837178,25,10
826,647.0033433634236,26,10
827,644.7225008358408,27,10
828,641.3032430625209,28,10
829,635.2006018054162,29,10
830,618.9501838849883,30,10
831,618.329321297225,31,10
832,615.6362420595119,32,10
833,611.8264794383149,33,10
834,602.8264794383149,34,10
835,597.4550317619526,35,10
836,592.4419926446004,36,10
837,577.275493146105,37,10
838,570.5215646940823,38,10
839,568.5021731862254,39,10
840,567.5235707121365,40,10
841,565.5626880641926,41,10
842,564.0220661985958,42,10
843,562.4964894684052,43,10
844,560.6265463055834,44,10
845,559.8893346706787,45,10
846,559.2540956201939,46,10
847,558.4326312270143,47,10
848,557.465730524908,48,10
849,548.4129053828151,49,10
850,535.5045135406218,50,10
851,522.2768304914745,51,10
852,502.773654296222,52,10
853,441.6552992310264,53,10
854,415.7455700434637,54,10
855,415.7238381812103,55,10
856,415.73654296221997,56,10
857,415.65095285857575,57,10
858,415.6830491474423,58,10
859,415.6974256101638,59,10
860,415.6797057840187,60,10
861,415.71848879973254,61,10
862,415.65095285857575,62,10
863,415.3343363423604,63,10
864,415.0692076228686,64,10
865,414.20160481444333,65,10
866,413.2861919090605,66,10
867,412.3537278502173,67,10
868,410.8421932464059,68,10
869,374.283851554664,69,10
870,351.8398528920094,70,10
871,350.5322634570378,71,10
872,330.3968572383818,72,10
873,311.974924774323,73,10
874,311.95921096623204,74,10
875,300.99598796389165,75,10
876,297.0,76,10
877,293.0,77,10
878,293.0,78,10
879,293.0,79,10
880,1769.7710109622412,0,11
881,1613.0179658952497,1,11
882,1467.6160170523751,2,11
883,1358.7521315468941,3,11
884,1283.69640682095,4,11
885,1208.3109013398296,5,11
886,1159.6077953714982,6,11
887,1112.673568818514,7,11
888,1068.9223507917175,8,11
889,1028.3669305724725,9,11
890,979.01431181486,10,11
891,951.7073690621194,11,11
892,939.5819123020707,12,11
893,914.7031059683313,13,11
894,856.169610231425,14,11
895,826.5605968331304,15,11
896,789.7771010962241,16,11
897,731.5018270401949,17,11
898,694.8623629719854,18,11
899,633.5526796589525,19,11
900,624.6690012180268,20,11
901,620.5088306942753,21,11
902,615.409257003654,22,11
903,612.6336784409257,23,11
904,611.5746041412912,24,11
905,607.9987819732034,25,11
906,603.4549330085262,26,11
907,601.5070036540803,27,11
908,589.3815468940317,28,11
909,572.6482947624847,29,11
910,572.0063946406821,30,11
911,570.7134591961023,31,11
912,570.1108404384896,32,11
913,567.9610231425091,33,11
914,565.2423873325213,34,11
915,562.5073081607795,35,11
916,555.2429963459197,36,11
917,545.8714981729598,37,11
918,518.8748477466504,38,11
919,487.44305724725945,39,11
920,440.6574299634592,40,11
921,391.2911084043849,41,11
922,348.50761266747867,42,11
923,340.83708891595614,43,11
924,320.82795371498173,44,11
925,318.49756394640684,45,11
926,313.76187576126677,46,11
927,310.95523751522535,47,11
928,303.64281364190015,48,11
929,292.49756394640684,49,11
930,279.81272838002434,50,11
931,271.73812423873323,51,11
932,254.3483556638246,52,11
933,237.8206455542022,53,11
934,222.66504263093788,54,11
935,211.44062119366626,55,11
936,191.46802679658953,56,11
937,186.1400730816078,57,11
938,182.85749086479902,58,11
939,180.74269183922047,59,11
940,177.43361753958587,60,11
941,173.0301461632156,61,11
942,170.70401948842874,62,11
943,167.97959805115713,63,11
944,163.90560292326433,64,11
945,161.53258221680878,65,11
946,159.72898903775882,66,11
947,158.066077953715,67,11
948,156.49847746650426,68,11
949,155.58891595615103,69,11
950,154.38855054811205,70,11
951,153.2557856272838,71,11
952,152.39890377588307,72,11
953,151.76248477466504,73,11
954,151.07886723507917,74,11
955,150.5873934226553,75,11
956,149.89799025578563,76,11
957,149.56851400730815,77,11
958,148.88276492082827,78,11
959,148.70736906211937,79,11
960,3219.4759933774835,0,12
961,2942.233857615894,1,12
962,2691.552152317881,2,12
963,2458.141142384106,3,12
964,2293.558774834437,4,12
965,2138.0128311258277,5,12
966,2054.843543046358,6,12
967,1988.7454470198675,7,12
968,1924.2557947019868,8,12
969,1893.6254139072848,9,12
970,1854.4329470198675,10,12
971,1835.91059602649,11,12
972,1777.9097682119204,12,12
973,1651.0248344370862,13,12
974,1569.6754966887418,14,12
975,1547.5219370860927,15,12
976,1503.510761589404,16,12
977,1443.3269867549668,17,12
978,1371.2019867549668,18,12
979,1305.442880794702,19,12
980,1207.6883278145694,20,12
981,1168.9225993377484,21,12
982,1116.2193708609273,22,12
983,1076.1316225165563,23,12
984,1049.2139900662253,24,12
985,1015.0488410596026,25,12
986,1006.789321192053,26,12
987,998.2822847682119,27,12
988,989.0902317880794,28,12
989,980.7206125827814,29,12
990,976.2971854304636,30,12
991,969.7355132450331,31,12
992,960.7131622516556,32,12
993,872.0525662251656,33,12
994,837.1899834437086,34,12
995,819.8447847682119,35,12
996,792.3253311258278,36,12
997,778.283940397351,37,12
998,754.850165562914,38,12
999,714.9416390728477,39,12
1000,688.4010761589404,40,12
1001,683.085678807947,41,12
1002,682.1957781456954,42,12
1003,675.096440397351,43,12
1004,643.9478476821192,44,12
1005,644.0045529801324,45,12
1006,643.6084437086092,46,12
1007,643.4925496688742,47,12
1008,643.3704470198676,48,12
1009,642.9168046357615,49,12
1010,642.850165562914,50,12
1011,642.162665562914,51,12
1012,634.2442052980133,52,12
1013,616.6423841059602,53,12
1014,600.3754139072847,54,12
1015,575.2471026490066,55,12
1016,566.517798013245,56,12
1017,544.2483443708609,57,12
1018,529.1713576158941,58,12
1019,526.0703642384105,59,12
